Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Calculators,Firefox 66.0,,2019-04-18 12:00:15,2019-04-18 12:00:41,26.035s,FAILED
,,,,,,
Test Cases/DividendReinvestmentCalc,Firefox 66.0,,2019-04-18 12:00:15,2019-04-18 12:00:25,9.144s,PASSED
"openBrowser(""https://calc.crafton.ocweb.team/dividend-reinvestment/"")",Firefox 66.0,,2019-04-18 12:00:16,2019-04-18 12:00:20,4.357s,PASSED
driver = getWebDriver(),Firefox 66.0,,2019-04-18 12:00:20,2019-04-18 12:00:20,0.006s,PASSED
"baseUrl = ""https://calc.crafton.ocweb.team/dividend-reinvestment/""",Firefox 66.0,,2019-04-18 12:00:20,2019-04-18 12:00:20,0.000s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Firefox 66.0,,2019-04-18 12:00:20,2019-04-18 12:00:20,0.069s,PASSED
"selenium.open(""https://calc.crafton.ocweb.team/dividend-reinvestment/"")",Firefox 66.0,,2019-04-18 12:00:20,2019-04-18 12:00:20,0.328s,PASSED
"selenium.click(""id=initialNumberOfShares"")",Firefox 66.0,,2019-04-18 12:00:20,2019-04-18 12:00:21,1.064s,PASSED
"selenium.type(""id=initialNumberOfShares"", ""200"")",Firefox 66.0,,2019-04-18 12:00:21,2019-04-18 12:00:22,0.066s,PASSED
"selenium.click(""id=initialPriceOfShares"")",Firefox 66.0,,2019-04-18 12:00:22,2019-04-18 12:00:22,0.238s,PASSED
"selenium.type(""id=initialPriceOfShares"", ""234"")",Firefox 66.0,,2019-04-18 12:00:22,2019-04-18 12:00:22,0.066s,PASSED
"selenium.click(""id=annualDividend"")",Firefox 66.0,,2019-04-18 12:00:22,2019-04-18 12:00:22,0.236s,PASSED
"selenium.type(""id=annualDividend"", ""23432"")",Firefox 66.0,,2019-04-18 12:00:22,2019-04-18 12:00:22,0.050s,PASSED
"selenium.click(""id=dividendAnnualGrowthRate"")",Firefox 66.0,,2019-04-18 12:00:22,2019-04-18 12:00:22,0.231s,PASSED
"selenium.type(""id=dividendAnnualGrowthRate"", ""43"")",Firefox 66.0,,2019-04-18 12:00:22,2019-04-18 12:00:22,0.047s,PASSED
"selenium.click(""id=stockPriceAnnualGrowthRate"")",Firefox 66.0,,2019-04-18 12:00:22,2019-04-18 12:00:23,0.236s,PASSED
"selenium.type(""id=stockPriceAnnualGrowthRate"", ""23"")",Firefox 66.0,,2019-04-18 12:00:23,2019-04-18 12:00:23,0.050s,PASSED
"selenium.click(""id=numberOfYears"")",Firefox 66.0,,2019-04-18 12:00:23,2019-04-18 12:00:23,0.232s,PASSED
"selenium.type(""id=numberOfYears"", ""3"")",Firefox 66.0,,2019-04-18 12:00:23,2019-04-18 12:00:23,0.047s,PASSED
"selenium.click(""id=numOfReinvestmentPerYear"")",Firefox 66.0,,2019-04-18 12:00:23,2019-04-18 12:00:23,0.235s,PASSED
"selenium.select(""id=numOfReinvestmentPerYear"", ""label=3"")",Firefox 66.0,,2019-04-18 12:00:23,2019-04-18 12:00:23,0.269s,PASSED
"selenium.click(""id=dividend-reinvestment-calculate"")",Firefox 66.0,,2019-04-18 12:00:23,2019-04-18 12:00:24,0.240s,PASSED
"selenium.click(""name=s"")",Firefox 66.0,,2019-04-18 12:00:24,2019-04-18 12:00:24,0.231s,PASSED
"takeScreenshot(""/Users/sthokala/Documents/DRCalculator.png"")",Firefox 66.0,,2019-04-18 12:00:24,2019-04-18 12:00:24,0.141s,PASSED
selenium.close(),Firefox 66.0,,2019-04-18 12:00:24,2019-04-18 12:00:25,0.469s,PASSED
,,,,,,
Test Cases/MutualFundCalc,Firefox 66.0,,2019-04-18 12:00:25,2019-04-18 12:00:25,0.197s,FAILED
"openBrowser(""https://calc.crafton.ocweb.team/mutual-fund/"")",Firefox 66.0,,2019-04-18 12:00:25,2019-04-18 12:00:25,0.084s,FAILED
,,,,,,
Test Cases/Prod_MutualFund,Firefox 66.0,,2019-04-18 12:00:25,2019-04-18 12:00:41,16.389s,PASSED
"openBrowser(""https://wealthyretirement.com/mutual-fund-calculator/"")",Firefox 66.0,,2019-04-18 12:00:25,2019-04-18 12:00:34,9.093s,PASSED
driver = getWebDriver(),Firefox 66.0,,2019-04-18 12:00:34,2019-04-18 12:00:34,0.001s,PASSED
"baseUrl = ""https://wealthyretirement.com/mutual-fund-calculator/""",Firefox 66.0,,2019-04-18 12:00:34,2019-04-18 12:00:34,0.000s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Firefox 66.0,,2019-04-18 12:00:34,2019-04-18 12:00:34,0.015s,PASSED
"selenium.open(""https://wealthyretirement.com/mutual-fund-calculator/"")",Firefox 66.0,,2019-04-18 12:00:34,2019-04-18 12:00:36,1.924s,PASSED
"selenium.selectFrame(""index=0"")",Firefox 66.0,,2019-04-18 12:00:36,2019-04-18 12:00:36,0.015s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Investment Return Calculator'])[1]/following::div[2]"")",Firefox 66.0,,2019-04-18 12:00:36,2019-04-18 12:00:36,0.244s,PASSED
"selenium.type(""id=years"", ""12"")",Firefox 66.0,,2019-04-18 12:00:36,2019-04-18 12:00:36,0.057s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Years:'])[1]/following::div[2]"")",Firefox 66.0,,2019-04-18 12:00:36,2019-04-18 12:00:36,0.231s,PASSED
"selenium.type(""id=rateOfReturn"", ""3"")",Firefox 66.0,,2019-04-18 12:00:36,2019-04-18 12:00:36,0.051s,PASSED
