Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Calculators,Firefox 66.0,,2019-04-18 11:05:33,2019-04-18 11:05:41,8.350s,INCOMPLETE
,,,,,,
Test Cases/DividendReinvestmentCalc,Firefox 66.0,,2019-04-18 11:05:33,2019-04-18 11:05:41,8.222s,PASSED
"openBrowser(""https://calc.crafton.ocweb.team/dividend-reinvestment/"")",Firefox 66.0,,2019-04-18 11:05:33,2019-04-18 11:05:38,4.303s,PASSED
driver = getWebDriver(),Firefox 66.0,,2019-04-18 11:05:38,2019-04-18 11:05:38,0.006s,PASSED
"baseUrl = ""https://calc.crafton.ocweb.team/dividend-reinvestment/""",Firefox 66.0,,2019-04-18 11:05:38,2019-04-18 11:05:38,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Firefox 66.0,,2019-04-18 11:05:38,2019-04-18 11:05:38,0.067s,PASSED
"selenium.open(""https://calc.crafton.ocweb.team/dividend-reinvestment/"")",Firefox 66.0,,2019-04-18 11:05:38,2019-04-18 11:05:38,0.320s,PASSED
"selenium.click(""id=initialNumberOfShares"")",Firefox 66.0,,2019-04-18 11:05:38,2019-04-18 11:05:38,0.249s,PASSED
"selenium.type(""id=initialNumberOfShares"", ""200"")",Firefox 66.0,,2019-04-18 11:05:38,2019-04-18 11:05:38,0.065s,PASSED
"selenium.click(""id=initialPriceOfShares"")",Firefox 66.0,,2019-04-18 11:05:38,2019-04-18 11:05:39,0.236s,PASSED
"selenium.type(""id=initialPriceOfShares"", ""234"")",Firefox 66.0,,2019-04-18 11:05:39,2019-04-18 11:05:39,0.062s,PASSED
"selenium.click(""id=annualDividend"")",Firefox 66.0,,2019-04-18 11:05:39,2019-04-18 11:05:39,0.233s,PASSED
"selenium.type(""id=annualDividend"", ""23432"")",Firefox 66.0,,2019-04-18 11:05:39,2019-04-18 11:05:39,0.048s,PASSED
"selenium.click(""id=dividendAnnualGrowthRate"")",Firefox 66.0,,2019-04-18 11:05:39,2019-04-18 11:05:39,0.234s,PASSED
"selenium.type(""id=dividendAnnualGrowthRate"", ""43"")",Firefox 66.0,,2019-04-18 11:05:39,2019-04-18 11:05:39,0.049s,PASSED
"selenium.click(""id=stockPriceAnnualGrowthRate"")",Firefox 66.0,,2019-04-18 11:05:39,2019-04-18 11:05:39,0.231s,PASSED
"selenium.type(""id=stockPriceAnnualGrowthRate"", ""23"")",Firefox 66.0,,2019-04-18 11:05:39,2019-04-18 11:05:39,0.048s,PASSED
"selenium.click(""id=numberOfYears"")",Firefox 66.0,,2019-04-18 11:05:39,2019-04-18 11:05:40,0.231s,PASSED
"selenium.type(""id=numberOfYears"", ""3"")",Firefox 66.0,,2019-04-18 11:05:40,2019-04-18 11:05:40,0.047s,PASSED
"selenium.click(""id=numOfReinvestmentPerYear"")",Firefox 66.0,,2019-04-18 11:05:40,2019-04-18 11:05:40,0.238s,PASSED
"selenium.select(""id=numOfReinvestmentPerYear"", ""label=3"")",Firefox 66.0,,2019-04-18 11:05:40,2019-04-18 11:05:40,0.270s,PASSED
"selenium.click(""id=dividend-reinvestment-calculate"")",Firefox 66.0,,2019-04-18 11:05:40,2019-04-18 11:05:41,0.243s,PASSED
"selenium.click(""name=s"")",Firefox 66.0,,2019-04-18 11:05:41,2019-04-18 11:05:41,0.236s,PASSED
"takeScreenshot(""/Users/sthokala/Documents/DRCalculator.png"")",Firefox 66.0,,2019-04-18 11:05:41,2019-04-18 11:05:41,0.136s,PASSED
selenium.close(),Firefox 66.0,,2019-04-18 11:05:41,2019-04-18 11:05:41,0.458s,PASSED
