Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Calculators,Firefox 66.0,,2019-04-18 13:37:22,2019-04-18 13:37:44,22.032s,INCOMPLETE
,,,,,,
Test Cases/DividendReinvestmentCalc,Firefox 66.0,,2019-04-18 13:37:22,2019-04-18 13:37:33,10.610s,PASSED
"openBrowser(""https://calc.crafton.ocweb.team/dividend-reinvestment/"")",Firefox 66.0,,2019-04-18 13:37:23,2019-04-18 13:37:26,3.860s,PASSED
driver = getWebDriver(),Firefox 66.0,,2019-04-18 13:37:26,2019-04-18 13:37:26,0.009s,PASSED
"baseUrl = ""https://calc.crafton.ocweb.team/dividend-reinvestment/""",Firefox 66.0,,2019-04-18 13:37:26,2019-04-18 13:37:26,0.000s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Firefox 66.0,,2019-04-18 13:37:26,2019-04-18 13:37:27,0.069s,PASSED
"selenium.open(""https://calc.crafton.ocweb.team/dividend-reinvestment/"")",Firefox 66.0,,2019-04-18 13:37:27,2019-04-18 13:37:27,0.279s,PASSED
"selenium.click(""id=initialNumberOfShares"")",Firefox 66.0,,2019-04-18 13:37:27,2019-04-18 13:37:28,1.090s,PASSED
"selenium.type(""id=initialNumberOfShares"", ""200"")",Firefox 66.0,,2019-04-18 13:37:28,2019-04-18 13:37:30,2.071s,PASSED
"selenium.click(""id=initialPriceOfShares"")",Firefox 66.0,,2019-04-18 13:37:30,2019-04-18 13:37:30,0.237s,PASSED
"selenium.type(""id=initialPriceOfShares"", ""234"")",Firefox 66.0,,2019-04-18 13:37:30,2019-04-18 13:37:30,0.066s,PASSED
"selenium.click(""id=annualDividend"")",Firefox 66.0,,2019-04-18 13:37:30,2019-04-18 13:37:31,0.235s,PASSED
"selenium.type(""id=annualDividend"", ""23432"")",Firefox 66.0,,2019-04-18 13:37:31,2019-04-18 13:37:31,0.052s,PASSED
"selenium.click(""id=dividendAnnualGrowthRate"")",Firefox 66.0,,2019-04-18 13:37:31,2019-04-18 13:37:31,0.231s,PASSED
"selenium.type(""id=dividendAnnualGrowthRate"", ""43"")",Firefox 66.0,,2019-04-18 13:37:31,2019-04-18 13:37:31,0.047s,PASSED
"selenium.click(""id=stockPriceAnnualGrowthRate"")",Firefox 66.0,,2019-04-18 13:37:31,2019-04-18 13:37:31,0.232s,PASSED
"selenium.type(""id=stockPriceAnnualGrowthRate"", ""23"")",Firefox 66.0,,2019-04-18 13:37:31,2019-04-18 13:37:31,0.050s,PASSED
"selenium.click(""id=numberOfYears"")",Firefox 66.0,,2019-04-18 13:37:31,2019-04-18 13:37:31,0.235s,PASSED
