Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Calculators,Firefox 66.0,,2019-04-18 13:38:53,2019-04-18 13:39:15,22.490s,INCOMPLETE
,,,,,,
Test Cases/DividendReinvestmentCalc,Firefox 66.0,,2019-04-18 13:38:53,2019-04-18 13:39:02,9.173s,PASSED
"openBrowser(""https://calc.crafton.ocweb.team/dividend-reinvestment/"")",Firefox 66.0,,2019-04-18 13:38:53,2019-04-18 13:38:57,4.075s,PASSED
driver = getWebDriver(),Firefox 66.0,,2019-04-18 13:38:57,2019-04-18 13:38:57,0.007s,PASSED
"baseUrl = ""https://calc.crafton.ocweb.team/dividend-reinvestment/""",Firefox 66.0,,2019-04-18 13:38:57,2019-04-18 13:38:57,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Firefox 66.0,,2019-04-18 13:38:57,2019-04-18 13:38:57,0.062s,PASSED
"selenium.open(""https://calc.crafton.ocweb.team/dividend-reinvestment/"")",Firefox 66.0,,2019-04-18 13:38:57,2019-04-18 13:38:58,0.476s,PASSED
"selenium.click(""id=initialNumberOfShares"")",Firefox 66.0,,2019-04-18 13:38:58,2019-04-18 13:38:58,0.251s,PASSED
"selenium.type(""id=initialNumberOfShares"", ""200"")",Firefox 66.0,,2019-04-18 13:38:58,2019-04-18 13:38:59,1.075s,PASSED
"selenium.click(""id=initialPriceOfShares"")",Firefox 66.0,,2019-04-18 13:38:59,2019-04-18 13:38:59,0.238s,PASSED
"selenium.type(""id=initialPriceOfShares"", ""234"")",Firefox 66.0,,2019-04-18 13:38:59,2019-04-18 13:38:59,0.054s,PASSED
"selenium.click(""id=annualDividend"")",Firefox 66.0,,2019-04-18 13:38:59,2019-04-18 13:39:00,0.247s,PASSED
"selenium.type(""id=annualDividend"", ""23432"")",Firefox 66.0,,2019-04-18 13:39:00,2019-04-18 13:39:00,0.049s,PASSED
"selenium.click(""id=dividendAnnualGrowthRate"")",Firefox 66.0,,2019-04-18 13:39:00,2019-04-18 13:39:00,0.233s,PASSED
"selenium.type(""id=dividendAnnualGrowthRate"", ""43"")",Firefox 66.0,,2019-04-18 13:39:00,2019-04-18 13:39:00,0.049s,PASSED
"selenium.click(""id=stockPriceAnnualGrowthRate"")",Firefox 66.0,,2019-04-18 13:39:00,2019-04-18 13:39:00,0.236s,PASSED
"selenium.type(""id=stockPriceAnnualGrowthRate"", ""23"")",Firefox 66.0,,2019-04-18 13:39:00,2019-04-18 13:39:00,0.048s,PASSED
"selenium.click(""id=numberOfYears"")",Firefox 66.0,,2019-04-18 13:39:00,2019-04-18 13:39:00,0.230s,PASSED
"selenium.type(""id=numberOfYears"", ""3"")",Firefox 66.0,,2019-04-18 13:39:00,2019-04-18 13:39:01,0.047s,PASSED
"selenium.click(""id=numOfReinvestmentPerYear"")",Firefox 66.0,,2019-04-18 13:39:01,2019-04-18 13:39:01,0.235s,PASSED
"selenium.select(""id=numOfReinvestmentPerYear"", ""label=3"")",Firefox 66.0,,2019-04-18 13:39:01,2019-04-18 13:39:01,0.268s,PASSED
"selenium.click(""id=dividend-reinvestment-calculate"")",Firefox 66.0,,2019-04-18 13:39:01,2019-04-18 13:39:01,0.240s,PASSED
"selenium.click(""name=s"")",Firefox 66.0,,2019-04-18 13:39:01,2019-04-18 13:39:02,0.231s,PASSED
"takeScreenshot(""/Users/sthokala/Documents/DRCalculator.png"")",Firefox 66.0,,2019-04-18 13:39:02,2019-04-18 13:39:02,0.142s,PASSED
selenium.close(),Firefox 66.0,,2019-04-18 13:39:02,2019-04-18 13:39:02,0.443s,PASSED
,,,,,,
Test Cases/MutualFundCalc,Firefox 66.0,,2019-04-18 13:39:02,2019-04-18 13:39:02,0.202s,FAILED
"openBrowser(""https://calc.crafton.ocweb.team/mutual-fund/"")",Firefox 66.0,,2019-04-18 13:39:02,2019-04-18 13:39:02,0.091s,FAILED
,,,,,,
Test Cases/Prod_DividendReinvestment,Firefox 66.0,,2019-04-18 13:39:02,2019-04-18 13:39:15,12.975s,PASSED
"openBrowser(""https://wealthyretirement.com/dividend-reinvestment-calculator/"")",Firefox 66.0,,2019-04-18 13:39:02,2019-04-18 13:39:10,7.672s,PASSED
driver = getWebDriver(),Firefox 66.0,,2019-04-18 13:39:10,2019-04-18 13:39:10,0.001s,PASSED
"baseUrl = ""https://wealthyretirement.com/dividend-reinvestment-calculator/""",Firefox 66.0,,2019-04-18 13:39:10,2019-04-18 13:39:10,0.000s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Firefox 66.0,,2019-04-18 13:39:10,2019-04-18 13:39:10,0.014s,PASSED
"selenium.open(""https://wealthyretirement.com/dividend-reinvestment-calculator/"")",Firefox 66.0,,2019-04-18 13:39:10,2019-04-18 13:39:12,1.998s,PASSED
"selenium.click(""id=initialNumberOfShares"")",Firefox 66.0,,2019-04-18 13:39:12,2019-04-18 13:39:12,0.263s,PASSED
"selenium.type(""id=initialNumberOfShares"", ""300"")",Firefox 66.0,,2019-04-18 13:39:12,2019-04-18 13:39:12,0.056s,PASSED
