Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Calculators,Firefox 66.0,,2019-04-25 14:38:01,2019-04-25 14:39:18,1m - 17.008s,INCOMPLETE
,,,,,,
Test Cases/DividendReinvestmentCalc,Firefox 66.0,,2019-04-25 14:38:01,2019-04-25 14:38:58,56.895s,ERROR
"openBrowser(""https://calc.crafton.ocweb.team/dividend-reinvestment/"")",Firefox 66.0,,2019-04-25 14:38:01,2019-04-25 14:38:35,33.063s,PASSED
driver = getWebDriver(),Firefox 66.0,,2019-04-25 14:38:35,2019-04-25 14:38:35,0.009s,PASSED
"baseUrl = ""https://calc.crafton.ocweb.team/dividend-reinvestment/""",Firefox 66.0,,2019-04-25 14:38:35,2019-04-25 14:38:35,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Firefox 66.0,,2019-04-25 14:38:35,2019-04-25 14:38:35,0.075s,PASSED
"selenium.open(""https://calc.crafton.ocweb.team/dividend-reinvestment/"")",Firefox 66.0,,2019-04-25 14:38:35,2019-04-25 14:38:58,23.440s,PASSED
"selenium.click(""id=initialNumberOfShares"")",Firefox 66.0,,2019-04-25 14:38:58,2019-04-25 14:38:58,0.038s,ERROR
,,,,,,
Test Cases/MutualFundCalc,Firefox 66.0,,2019-04-25 14:38:58,2019-04-25 14:39:04,6.034s,ERROR
"openBrowser(""https://calc.crafton.ocweb.team/mutual-fund/"")",Firefox 66.0,,2019-04-25 14:38:58,2019-04-25 14:39:04,5.842s,PASSED
driver = getWebDriver(),Firefox 66.0,,2019-04-25 14:39:04,2019-04-25 14:39:04,0.001s,PASSED
"baseUrl = ""https://calc.crafton.ocweb.team/mutual-fund/""",Firefox 66.0,,2019-04-25 14:39:04,2019-04-25 14:39:04,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Firefox 66.0,,2019-04-25 14:39:04,2019-04-25 14:39:04,0.060s,ERROR
,,,,,,
Test Cases/Prod_DividendReinvestment,Firefox 66.0,,2019-04-25 14:39:04,2019-04-25 14:39:18,13.903s,PASSED
"openBrowser(""https://wealthyretirement.com/dividend-reinvestment-calculator/"")",Firefox 66.0,,2019-04-25 14:39:04,2019-04-25 14:39:13,9.075s,PASSED
driver = getWebDriver(),Firefox 66.0,,2019-04-25 14:39:13,2019-04-25 14:39:13,0.001s,PASSED
"baseUrl = ""https://wealthyretirement.com/dividend-reinvestment-calculator/""",Firefox 66.0,,2019-04-25 14:39:13,2019-04-25 14:39:13,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Firefox 66.0,,2019-04-25 14:39:13,2019-04-25 14:39:13,0.023s,PASSED
"selenium.open(""https://wealthyretirement.com/dividend-reinvestment-calculator/"")",Firefox 66.0,,2019-04-25 14:39:13,2019-04-25 14:39:15,1.312s,PASSED
"selenium.click(""id=initialNumberOfShares"")",Firefox 66.0,,2019-04-25 14:39:15,2019-04-25 14:39:15,0.390s,PASSED
"selenium.type(""id=initialNumberOfShares"", ""300"")",Firefox 66.0,,2019-04-25 14:39:15,2019-04-25 14:39:15,0.063s,PASSED
"selenium.click(""id=initialPriceOfShares"")",Firefox 66.0,,2019-04-25 14:39:15,2019-04-25 14:39:15,0.255s,PASSED
"selenium.type(""id=initialPriceOfShares"", ""200"")",Firefox 66.0,,2019-04-25 14:39:15,2019-04-25 14:39:15,0.053s,PASSED
"selenium.click(""id=annualDividend"")",Firefox 66.0,,2019-04-25 14:39:15,2019-04-25 14:39:16,0.245s,PASSED
"selenium.type(""id=annualDividend"", ""30,000"")",Firefox 66.0,,2019-04-25 14:39:16,2019-04-25 14:39:16,0.048s,PASSED
"selenium.click(""id=dividendAnnualGrowthRate"")",Firefox 66.0,,2019-04-25 14:39:16,2019-04-25 14:39:16,0.243s,PASSED
"selenium.type(""id=dividendAnnualGrowthRate"", ""4"")",Firefox 66.0,,2019-04-25 14:39:16,2019-04-25 14:39:16,0.055s,PASSED
"selenium.click(""id=stockPriceAnnualGrowthRate"")",Firefox 66.0,,2019-04-25 14:39:16,2019-04-25 14:39:16,0.239s,PASSED
"selenium.type(""id=stockPriceAnnualGrowthRate"", ""5"")",Firefox 66.0,,2019-04-25 14:39:16,2019-04-25 14:39:16,0.055s,PASSED
"selenium.click(""id=numberOfYears"")",Firefox 66.0,,2019-04-25 14:39:16,2019-04-25 14:39:17,0.239s,PASSED
"selenium.type(""id=numberOfYears"", ""2"")",Firefox 66.0,,2019-04-25 14:39:17,2019-04-25 14:39:17,0.051s,PASSED
"selenium.click(""id=numOfReinvestmentPerYear"")",Firefox 66.0,,2019-04-25 14:39:17,2019-04-25 14:39:17,0.241s,PASSED
"selenium.select(""id=numOfReinvestmentPerYear"", ""label=3"")",Firefox 66.0,,2019-04-25 14:39:17,2019-04-25 14:39:17,0.283s,PASSED
"selenium.click(""id=dividend-reinvestment-calculate"")",Firefox 66.0,,2019-04-25 14:39:17,2019-04-25 14:39:17,0.264s,PASSED
"takeScreenshot(""/Users/sthokala/Documents/ProdDRCalculator.png"")",Firefox 66.0,,2019-04-25 14:39:17,2019-04-25 14:39:18,0.188s,PASSED
selenium.close(),Firefox 66.0,,2019-04-25 14:39:18,2019-04-25 14:39:18,0.474s,PASSED
