Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OnlyProdWealthyRetirement,Firefox 66.0,,2019-04-25 15:04:19,2019-04-25 15:04:38,18.828s,INCOMPLETE
,,,,,,
Test Cases/Prod_DividendReinvestment,Firefox 66.0,,2019-04-25 15:04:19,2019-04-25 15:04:38,18.687s,PASSED
"openBrowser(""https://wealthyretirement.com/dividend-reinvestment-calculator/"")",Firefox 66.0,,2019-04-25 15:04:19,2019-04-25 15:04:33,13.264s,PASSED
driver = getWebDriver(),Firefox 66.0,,2019-04-25 15:04:33,2019-04-25 15:04:33,0.009s,PASSED
"baseUrl = ""https://wealthyretirement.com/dividend-reinvestment-calculator/""",Firefox 66.0,,2019-04-25 15:04:33,2019-04-25 15:04:33,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Firefox 66.0,,2019-04-25 15:04:33,2019-04-25 15:04:33,0.085s,PASSED
"selenium.open(""https://wealthyretirement.com/dividend-reinvestment-calculator/"")",Firefox 66.0,,2019-04-25 15:04:33,2019-04-25 15:04:34,1.615s,PASSED
"selenium.click(""id=initialNumberOfShares"")",Firefox 66.0,,2019-04-25 15:04:34,2019-04-25 15:04:35,0.417s,PASSED
"selenium.type(""id=initialNumberOfShares"", ""300"")",Firefox 66.0,,2019-04-25 15:04:35,2019-04-25 15:04:35,0.080s,PASSED
"selenium.click(""id=initialPriceOfShares"")",Firefox 66.0,,2019-04-25 15:04:35,2019-04-25 15:04:35,0.263s,PASSED
"selenium.type(""id=initialPriceOfShares"", ""200"")",Firefox 66.0,,2019-04-25 15:04:35,2019-04-25 15:04:35,0.059s,PASSED
"selenium.click(""id=annualDividend"")",Firefox 66.0,,2019-04-25 15:04:35,2019-04-25 15:04:35,0.254s,PASSED
"selenium.type(""id=annualDividend"", ""30,000"")",Firefox 66.0,,2019-04-25 15:04:35,2019-04-25 15:04:35,0.053s,PASSED
"selenium.click(""id=dividendAnnualGrowthRate"")",Firefox 66.0,,2019-04-25 15:04:35,2019-04-25 15:04:36,0.245s,PASSED
"selenium.type(""id=dividendAnnualGrowthRate"", ""4"")",Firefox 66.0,,2019-04-25 15:04:36,2019-04-25 15:04:36,0.057s,PASSED
"selenium.click(""id=stockPriceAnnualGrowthRate"")",Firefox 66.0,,2019-04-25 15:04:36,2019-04-25 15:04:36,0.237s,PASSED
"selenium.type(""id=stockPriceAnnualGrowthRate"", ""5"")",Firefox 66.0,,2019-04-25 15:04:36,2019-04-25 15:04:36,0.053s,PASSED
"selenium.click(""id=numberOfYears"")",Firefox 66.0,,2019-04-25 15:04:36,2019-04-25 15:04:36,0.237s,PASSED
"selenium.type(""id=numberOfYears"", ""2"")",Firefox 66.0,,2019-04-25 15:04:36,2019-04-25 15:04:36,0.049s,PASSED
"selenium.click(""id=numOfReinvestmentPerYear"")",Firefox 66.0,,2019-04-25 15:04:36,2019-04-25 15:04:37,0.257s,PASSED
"selenium.select(""id=numOfReinvestmentPerYear"", ""label=3"")",Firefox 66.0,,2019-04-25 15:04:37,2019-04-25 15:04:37,0.287s,PASSED
"selenium.click(""id=dividend-reinvestment-calculate"")",Firefox 66.0,,2019-04-25 15:04:37,2019-04-25 15:04:37,0.272s,PASSED
"takeScreenshot(""/Users/sthokala/Documents/ProdDRCalculator.png"")",Firefox 66.0,,2019-04-25 15:04:37,2019-04-25 15:04:37,0.095s,PASSED
selenium.close(),Firefox 66.0,,2019-04-25 15:04:37,2019-04-25 15:04:38,0.560s,PASSED
