Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Calculators,Chrome 73.0.3683.103,,2019-04-18 11:07:42,2019-04-18 11:07:52,10.106s,PASSED
,,,,,,
Test Cases/DividendReinvestmentCalc,Chrome 73.0.3683.103,,2019-04-18 11:07:42,2019-04-18 11:07:47,5.427s,PASSED
"openBrowser(""https://calc.crafton.ocweb.team/dividend-reinvestment/"")",Chrome 73.0.3683.103,,2019-04-18 11:07:42,2019-04-18 11:07:45,2.807s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.103,,2019-04-18 11:07:45,2019-04-18 11:07:45,0.006s,PASSED
"baseUrl = ""https://calc.crafton.ocweb.team/dividend-reinvestment/""",Chrome 73.0.3683.103,,2019-04-18 11:07:45,2019-04-18 11:07:45,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 73.0.3683.103,,2019-04-18 11:07:45,2019-04-18 11:07:45,0.065s,PASSED
"selenium.open(""https://calc.crafton.ocweb.team/dividend-reinvestment/"")",Chrome 73.0.3683.103,,2019-04-18 11:07:45,2019-04-18 11:07:45,0.400s,PASSED
"selenium.click(""id=initialNumberOfShares"")",Chrome 73.0.3683.103,,2019-04-18 11:07:45,2019-04-18 11:07:45,0.086s,PASSED
"selenium.type(""id=initialNumberOfShares"", ""200"")",Chrome 73.0.3683.103,,2019-04-18 11:07:45,2019-04-18 11:07:46,0.045s,PASSED
"selenium.click(""id=initialPriceOfShares"")",Chrome 73.0.3683.103,,2019-04-18 11:07:46,2019-04-18 11:07:46,0.053s,PASSED
"selenium.type(""id=initialPriceOfShares"", ""234"")",Chrome 73.0.3683.103,,2019-04-18 11:07:46,2019-04-18 11:07:46,0.041s,PASSED
"selenium.click(""id=annualDividend"")",Chrome 73.0.3683.103,,2019-04-18 11:07:46,2019-04-18 11:07:46,0.073s,PASSED
"selenium.type(""id=annualDividend"", ""23432"")",Chrome 73.0.3683.103,,2019-04-18 11:07:46,2019-04-18 11:07:46,0.041s,PASSED
"selenium.click(""id=dividendAnnualGrowthRate"")",Chrome 73.0.3683.103,,2019-04-18 11:07:46,2019-04-18 11:07:46,0.049s,PASSED
"selenium.type(""id=dividendAnnualGrowthRate"", ""43"")",Chrome 73.0.3683.103,,2019-04-18 11:07:46,2019-04-18 11:07:46,0.050s,PASSED
"selenium.click(""id=stockPriceAnnualGrowthRate"")",Chrome 73.0.3683.103,,2019-04-18 11:07:46,2019-04-18 11:07:46,0.046s,PASSED
"selenium.type(""id=stockPriceAnnualGrowthRate"", ""23"")",Chrome 73.0.3683.103,,2019-04-18 11:07:46,2019-04-18 11:07:46,0.039s,PASSED
"selenium.click(""id=numberOfYears"")",Chrome 73.0.3683.103,,2019-04-18 11:07:46,2019-04-18 11:07:46,0.046s,PASSED
"selenium.type(""id=numberOfYears"", ""3"")",Chrome 73.0.3683.103,,2019-04-18 11:07:46,2019-04-18 11:07:46,0.038s,PASSED
"selenium.click(""id=numOfReinvestmentPerYear"")",Chrome 73.0.3683.103,,2019-04-18 11:07:46,2019-04-18 11:07:46,0.081s,PASSED
"selenium.select(""id=numOfReinvestmentPerYear"", ""label=3"")",Chrome 73.0.3683.103,,2019-04-18 11:07:46,2019-04-18 11:07:46,0.337s,PASSED
"selenium.click(""id=dividend-reinvestment-calculate"")",Chrome 73.0.3683.103,,2019-04-18 11:07:46,2019-04-18 11:07:47,0.295s,PASSED
"selenium.click(""name=s"")",Chrome 73.0.3683.103,,2019-04-18 11:07:47,2019-04-18 11:07:47,0.062s,PASSED
"takeScreenshot(""/Users/sthokala/Documents/DRCalculator.png"")",Chrome 73.0.3683.103,,2019-04-18 11:07:47,2019-04-18 11:07:47,0.431s,PASSED
selenium.close(),Chrome 73.0.3683.103,,2019-04-18 11:07:47,2019-04-18 11:07:47,0.114s,PASSED
,,,,,,
Test Cases/MutualFundCalc,Chrome 73.0.3683.103,,2019-04-18 11:07:47,2019-04-18 11:07:52,4.530s,PASSED
"openBrowser(""https://calc.crafton.ocweb.team/mutual-fund/"")",Chrome 73.0.3683.103,,2019-04-18 11:07:47,2019-04-18 11:07:50,2.465s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.103,,2019-04-18 11:07:50,2019-04-18 11:07:50,0.001s,PASSED
"baseUrl = ""https://calc.crafton.ocweb.team/mutual-fund/""",Chrome 73.0.3683.103,,2019-04-18 11:07:50,2019-04-18 11:07:50,0.000s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 73.0.3683.103,,2019-04-18 11:07:50,2019-04-18 11:07:50,0.012s,PASSED
"selenium.open(""https://calc.crafton.ocweb.team/mutual-fund/"")",Chrome 73.0.3683.103,,2019-04-18 11:07:50,2019-04-18 11:07:50,0.340s,PASSED
