Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Calculators,Chrome 73.0.3683.103,,2019-04-17 15:08:25,2019-04-17 15:08:38,13.187s,PASSED
,,,,,,
Test Cases/DividendReinvestmentCalc,Chrome 73.0.3683.103,,2019-04-17 15:08:25,2019-04-17 15:08:31,6.005s,PASSED
"openBrowser(""https://calc.crafton.ocweb.team/dividend-reinvestment/"")",Chrome 73.0.3683.103,,2019-04-17 15:08:25,2019-04-17 15:08:28,3.439s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.103,,2019-04-17 15:08:28,2019-04-17 15:08:28,0.006s,PASSED
"baseUrl = ""https://calc.crafton.ocweb.team/dividend-reinvestment/""",Chrome 73.0.3683.103,,2019-04-17 15:08:28,2019-04-17 15:08:28,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 73.0.3683.103,,2019-04-17 15:08:28,2019-04-17 15:08:29,0.059s,PASSED
"selenium.open(""https://calc.crafton.ocweb.team/dividend-reinvestment/"")",Chrome 73.0.3683.103,,2019-04-17 15:08:29,2019-04-17 15:08:29,0.326s,PASSED
"selenium.click(""id=initialNumberOfShares"")",Chrome 73.0.3683.103,,2019-04-17 15:08:29,2019-04-17 15:08:29,0.088s,PASSED
"selenium.type(""id=initialNumberOfShares"", ""200"")",Chrome 73.0.3683.103,,2019-04-17 15:08:29,2019-04-17 15:08:29,0.046s,PASSED
"selenium.click(""id=initialPriceOfShares"")",Chrome 73.0.3683.103,,2019-04-17 15:08:29,2019-04-17 15:08:29,0.051s,PASSED
"selenium.type(""id=initialPriceOfShares"", ""234"")",Chrome 73.0.3683.103,,2019-04-17 15:08:29,2019-04-17 15:08:29,0.063s,PASSED
"selenium.click(""id=annualDividend"")",Chrome 73.0.3683.103,,2019-04-17 15:08:29,2019-04-17 15:08:29,0.049s,PASSED
"selenium.type(""id=annualDividend"", ""23432"")",Chrome 73.0.3683.103,,2019-04-17 15:08:29,2019-04-17 15:08:29,0.041s,PASSED
"selenium.click(""id=dividendAnnualGrowthRate"")",Chrome 73.0.3683.103,,2019-04-17 15:08:29,2019-04-17 15:08:29,0.060s,PASSED
"selenium.type(""id=dividendAnnualGrowthRate"", ""43"")",Chrome 73.0.3683.103,,2019-04-17 15:08:29,2019-04-17 15:08:29,0.039s,PASSED
"selenium.click(""id=stockPriceAnnualGrowthRate"")",Chrome 73.0.3683.103,,2019-04-17 15:08:29,2019-04-17 15:08:29,0.046s,PASSED
"selenium.type(""id=stockPriceAnnualGrowthRate"", ""23"")",Chrome 73.0.3683.103,,2019-04-17 15:08:29,2019-04-17 15:08:29,0.039s,PASSED
"selenium.click(""id=numberOfYears"")",Chrome 73.0.3683.103,,2019-04-17 15:08:29,2019-04-17 15:08:29,0.047s,PASSED
"selenium.type(""id=numberOfYears"", ""3"")",Chrome 73.0.3683.103,,2019-04-17 15:08:29,2019-04-17 15:08:29,0.038s,PASSED
"selenium.click(""id=numOfReinvestmentPerYear"")",Chrome 73.0.3683.103,,2019-04-17 15:08:29,2019-04-17 15:08:30,0.074s,PASSED
"selenium.select(""id=numOfReinvestmentPerYear"", ""label=3"")",Chrome 73.0.3683.103,,2019-04-17 15:08:30,2019-04-17 15:08:30,0.330s,PASSED
"selenium.click(""id=dividend-reinvestment-calculate"")",Chrome 73.0.3683.103,,2019-04-17 15:08:30,2019-04-17 15:08:30,0.297s,PASSED
"selenium.click(""name=s"")",Chrome 73.0.3683.103,,2019-04-17 15:08:30,2019-04-17 15:08:30,0.062s,PASSED
"takeScreenshot(""/Users/sthokala/Documents/DRCalculator.png"")",Chrome 73.0.3683.103,,2019-04-17 15:08:30,2019-04-17 15:08:31,0.432s,PASSED
selenium.close(),Chrome 73.0.3683.103,,2019-04-17 15:08:31,2019-04-17 15:08:31,0.129s,PASSED
,,,,,,
Test Cases/MutualFundCalc,Chrome 73.0.3683.103,,2019-04-17 15:08:31,2019-04-17 15:08:38,7.018s,PASSED
"openBrowser(""https://calc.crafton.ocweb.team/mutual-fund/"")",Chrome 73.0.3683.103,,2019-04-17 15:08:31,2019-04-17 15:08:36,4.881s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.103,,2019-04-17 15:08:36,2019-04-17 15:08:36,0.001s,PASSED
"baseUrl = ""https://calc.crafton.ocweb.team/mutual-fund/""",Chrome 73.0.3683.103,,2019-04-17 15:08:36,2019-04-17 15:08:36,0.000s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 73.0.3683.103,,2019-04-17 15:08:36,2019-04-17 15:08:36,0.012s,PASSED
"selenium.open(""https://calc.crafton.ocweb.team/mutual-fund/"")",Chrome 73.0.3683.103,,2019-04-17 15:08:36,2019-04-17 15:08:36,0.335s,PASSED
"selenium.click(""id=years"")",Chrome 73.0.3683.103,,2019-04-17 15:08:36,2019-04-17 15:08:36,0.082s,PASSED
"selenium.type(""id=years"", ""45"")",Chrome 73.0.3683.103,,2019-04-17 15:08:36,2019-04-17 15:08:36,0.051s,PASSED
"selenium.click(""id=rateOfReturn"")",Chrome 73.0.3683.103,,2019-04-17 15:08:36,2019-04-17 15:08:36,0.060s,PASSED
"selenium.type(""id=rateOfReturn"", ""5"")",Chrome 73.0.3683.103,,2019-04-17 15:08:36,2019-04-17 15:08:36,0.072s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Rate of Return:'])[1]/following::div[2]"")",Chrome 73.0.3683.103,,2019-04-17 15:08:36,2019-04-17 15:08:36,0.055s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Rate of Return:'])[1]/following::div[2]"")",Chrome 73.0.3683.103,,2019-04-17 15:08:36,2019-04-17 15:08:36,0.038s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Rate of Return:'])[1]/following::div[2]"")",Chrome 73.0.3683.103,,2019-04-17 15:08:36,2019-04-17 15:08:37,0.037s,PASSED
"selenium.type(""id=initialInvestment"", ""500000"")",Chrome 73.0.3683.103,,2019-04-17 15:08:37,2019-04-17 15:08:37,0.050s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Initial Investment:'])[1]/following::div[2]"")",Chrome 73.0.3683.103,,2019-04-17 15:08:37,2019-04-17 15:08:37,0.054s,PASSED
"selenium.type(""id=annualInvestments"", ""2000"")",Chrome 73.0.3683.103,,2019-04-17 15:08:37,2019-04-17 15:08:37,0.051s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Annual Investments:'])[1]/following::div[2]"")",Chrome 73.0.3683.103,,2019-04-17 15:08:37,2019-04-17 15:08:37,0.058s,PASSED
"selenium.type(""id=inflationRate"", ""2"")",Chrome 73.0.3683.103,,2019-04-17 15:08:37,2019-04-17 15:08:37,0.053s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Inflation Rate:'])[1]/following::div[2]"")",Chrome 73.0.3683.103,,2019-04-17 15:08:37,2019-04-17 15:08:37,0.054s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Inflation Rate:'])[1]/following::label[1]"")",Chrome 73.0.3683.103,,2019-04-17 15:08:37,2019-04-17 15:08:37,0.067s,PASSED
"selenium.type(""id=taxRate"", ""34"")",Chrome 73.0.3683.103,,2019-04-17 15:08:37,2019-04-17 15:08:37,0.049s,PASSED
"selenium.click(""id=investment-return-calculate"")",Chrome 73.0.3683.103,,2019-04-17 15:08:37,2019-04-17 15:08:37,0.137s,PASSED
"selenium.click(""name=s"")",Chrome 73.0.3683.103,,2019-04-17 15:08:37,2019-04-17 15:08:37,0.090s,PASSED
"takeScreenshot(""/Users/sthokala/Documents/MFCalculator.png"")",Chrome 73.0.3683.103,,2019-04-17 15:08:37,2019-04-17 15:08:38,0.511s,PASSED
closeBrowser(),Chrome 73.0.3683.103,,2019-04-17 15:08:38,2019-04-17 15:08:38,0.093s,PASSED
