Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Calculators,Firefox 66.0,,2019-04-18 12:03:12,2019-04-18 12:03:37,25.291s,FAILED
,,,,,,
Test Cases/DividendReinvestmentCalc,Firefox 66.0,,2019-04-18 12:03:12,2019-04-18 12:03:21,8.978s,PASSED
"openBrowser(""https://calc.crafton.ocweb.team/dividend-reinvestment/"")",Firefox 66.0,,2019-04-18 12:03:12,2019-04-18 12:03:17,4.941s,PASSED
driver = getWebDriver(),Firefox 66.0,,2019-04-18 12:03:17,2019-04-18 12:03:17,0.006s,PASSED
"baseUrl = ""https://calc.crafton.ocweb.team/dividend-reinvestment/""",Firefox 66.0,,2019-04-18 12:03:17,2019-04-18 12:03:17,0.000s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Firefox 66.0,,2019-04-18 12:03:17,2019-04-18 12:03:17,0.064s,PASSED
"selenium.open(""https://calc.crafton.ocweb.team/dividend-reinvestment/"")",Firefox 66.0,,2019-04-18 12:03:17,2019-04-18 12:03:18,0.393s,PASSED
"selenium.click(""id=initialNumberOfShares"")",Firefox 66.0,,2019-04-18 12:03:18,2019-04-18 12:03:18,0.252s,PASSED
"selenium.type(""id=initialNumberOfShares"", ""200"")",Firefox 66.0,,2019-04-18 12:03:18,2019-04-18 12:03:18,0.060s,PASSED
"selenium.click(""id=initialPriceOfShares"")",Firefox 66.0,,2019-04-18 12:03:18,2019-04-18 12:03:18,0.241s,PASSED
"selenium.type(""id=initialPriceOfShares"", ""234"")",Firefox 66.0,,2019-04-18 12:03:18,2019-04-18 12:03:18,0.057s,PASSED
"selenium.click(""id=annualDividend"")",Firefox 66.0,,2019-04-18 12:03:18,2019-04-18 12:03:19,0.235s,PASSED
"selenium.type(""id=annualDividend"", ""23432"")",Firefox 66.0,,2019-04-18 12:03:19,2019-04-18 12:03:19,0.053s,PASSED
"selenium.click(""id=dividendAnnualGrowthRate"")",Firefox 66.0,,2019-04-18 12:03:19,2019-04-18 12:03:19,0.242s,PASSED
"selenium.type(""id=dividendAnnualGrowthRate"", ""43"")",Firefox 66.0,,2019-04-18 12:03:19,2019-04-18 12:03:19,0.051s,PASSED
"selenium.click(""id=stockPriceAnnualGrowthRate"")",Firefox 66.0,,2019-04-18 12:03:19,2019-04-18 12:03:19,0.239s,PASSED
"selenium.type(""id=stockPriceAnnualGrowthRate"", ""23"")",Firefox 66.0,,2019-04-18 12:03:19,2019-04-18 12:03:19,0.051s,PASSED
"selenium.click(""id=numberOfYears"")",Firefox 66.0,,2019-04-18 12:03:19,2019-04-18 12:03:20,0.232s,PASSED
"selenium.type(""id=numberOfYears"", ""3"")",Firefox 66.0,,2019-04-18 12:03:20,2019-04-18 12:03:20,0.047s,PASSED
"selenium.click(""id=numOfReinvestmentPerYear"")",Firefox 66.0,,2019-04-18 12:03:20,2019-04-18 12:03:20,0.238s,PASSED
"selenium.select(""id=numOfReinvestmentPerYear"", ""label=3"")",Firefox 66.0,,2019-04-18 12:03:20,2019-04-18 12:03:20,0.273s,PASSED
"selenium.click(""id=dividend-reinvestment-calculate"")",Firefox 66.0,,2019-04-18 12:03:20,2019-04-18 12:03:20,0.242s,PASSED
"selenium.click(""name=s"")",Firefox 66.0,,2019-04-18 12:03:20,2019-04-18 12:03:21,0.240s,PASSED
"takeScreenshot(""/Users/sthokala/Documents/DRCalculator.png"")",Firefox 66.0,,2019-04-18 12:03:21,2019-04-18 12:03:21,0.143s,PASSED
selenium.close(),Firefox 66.0,,2019-04-18 12:03:21,2019-04-18 12:03:21,0.469s,PASSED
,,,,,,
Test Cases/MutualFundCalc,Firefox 66.0,,2019-04-18 12:03:21,2019-04-18 12:03:21,0.193s,FAILED
"openBrowser(""https://calc.crafton.ocweb.team/mutual-fund/"")",Firefox 66.0,,2019-04-18 12:03:21,2019-04-18 12:03:21,0.085s,FAILED
,,,,,,
Test Cases/Prod_MutualFund,Firefox 66.0,,2019-04-18 12:03:21,2019-04-18 12:03:37,15.806s,PASSED
"openBrowser(""https://wealthyretirement.com/mutual-fund-calculator/"")",Firefox 66.0,,2019-04-18 12:03:21,2019-04-18 12:03:30,8.176s,PASSED
driver = getWebDriver(),Firefox 66.0,,2019-04-18 12:03:30,2019-04-18 12:03:30,0.001s,PASSED
"baseUrl = ""https://wealthyretirement.com/mutual-fund-calculator/""",Firefox 66.0,,2019-04-18 12:03:30,2019-04-18 12:03:30,0.000s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Firefox 66.0,,2019-04-18 12:03:30,2019-04-18 12:03:30,0.017s,PASSED
"selenium.open(""https://wealthyretirement.com/mutual-fund-calculator/"")",Firefox 66.0,,2019-04-18 12:03:30,2019-04-18 12:03:32,2.199s,PASSED
"selenium.selectFrame(""index=0"")",Firefox 66.0,,2019-04-18 12:03:32,2019-04-18 12:03:32,0.018s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Investment Return Calculator'])[1]/following::div[2]"")",Firefox 66.0,,2019-04-18 12:03:32,2019-04-18 12:03:32,0.245s,PASSED
"selenium.type(""id=years"", ""12"")",Firefox 66.0,,2019-04-18 12:03:32,2019-04-18 12:03:32,0.057s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Years:'])[1]/following::div[2]"")",Firefox 66.0,,2019-04-18 12:03:32,2019-04-18 12:03:32,0.242s,PASSED
"selenium.type(""id=rateOfReturn"", ""3"")",Firefox 66.0,,2019-04-18 12:03:32,2019-04-18 12:03:32,0.053s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Rate of Return:'])[1]/following::div[2]"")",Firefox 66.0,,2019-04-18 12:03:32,2019-04-18 12:03:33,0.235s,PASSED
"selenium.type(""id=initialInvestment"", ""23000"")",Firefox 66.0,,2019-04-18 12:03:33,2019-04-18 12:03:33,0.055s,PASSED
"selenium.type(""id=annualInvestments"", ""24000"")",Firefox 66.0,,2019-04-18 12:03:33,2019-04-18 12:03:33,0.053s,PASSED
"selenium.type(""id=inflationRate"", ""4"")",Firefox 66.0,,2019-04-18 12:03:33,2019-04-18 12:03:33,0.049s,PASSED
