Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Calculators,Chrome 73.0.3683.103,,2019-04-18 11:59:39,2019-04-18 12:00:05,25.966s,ERROR
,,,,,,
Test Cases/DividendReinvestmentCalc,Chrome 73.0.3683.103,,2019-04-18 11:59:40,2019-04-18 11:59:45,4.987s,PASSED
"openBrowser(""https://calc.crafton.ocweb.team/dividend-reinvestment/"")",Chrome 73.0.3683.103,,2019-04-18 11:59:40,2019-04-18 11:59:42,2.443s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.103,,2019-04-18 11:59:42,2019-04-18 11:59:42,0.006s,PASSED
"baseUrl = ""https://calc.crafton.ocweb.team/dividend-reinvestment/""",Chrome 73.0.3683.103,,2019-04-18 11:59:42,2019-04-18 11:59:42,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 73.0.3683.103,,2019-04-18 11:59:42,2019-04-18 11:59:42,0.061s,PASSED
"selenium.open(""https://calc.crafton.ocweb.team/dividend-reinvestment/"")",Chrome 73.0.3683.103,,2019-04-18 11:59:42,2019-04-18 11:59:43,0.280s,PASSED
"selenium.click(""id=initialNumberOfShares"")",Chrome 73.0.3683.103,,2019-04-18 11:59:43,2019-04-18 11:59:43,0.086s,PASSED
"selenium.type(""id=initialNumberOfShares"", ""200"")",Chrome 73.0.3683.103,,2019-04-18 11:59:43,2019-04-18 11:59:43,0.047s,PASSED
"selenium.click(""id=initialPriceOfShares"")",Chrome 73.0.3683.103,,2019-04-18 11:59:43,2019-04-18 11:59:43,0.078s,PASSED
"selenium.type(""id=initialPriceOfShares"", ""234"")",Chrome 73.0.3683.103,,2019-04-18 11:59:43,2019-04-18 11:59:43,0.043s,PASSED
"selenium.click(""id=annualDividend"")",Chrome 73.0.3683.103,,2019-04-18 11:59:43,2019-04-18 11:59:43,0.049s,PASSED
"selenium.type(""id=annualDividend"", ""23432"")",Chrome 73.0.3683.103,,2019-04-18 11:59:43,2019-04-18 11:59:43,0.043s,PASSED
"selenium.click(""id=dividendAnnualGrowthRate"")",Chrome 73.0.3683.103,,2019-04-18 11:59:43,2019-04-18 11:59:43,0.048s,PASSED
"selenium.type(""id=dividendAnnualGrowthRate"", ""43"")",Chrome 73.0.3683.103,,2019-04-18 11:59:43,2019-04-18 11:59:43,0.051s,PASSED
"selenium.click(""id=stockPriceAnnualGrowthRate"")",Chrome 73.0.3683.103,,2019-04-18 11:59:43,2019-04-18 11:59:43,0.048s,PASSED
"selenium.type(""id=stockPriceAnnualGrowthRate"", ""23"")",Chrome 73.0.3683.103,,2019-04-18 11:59:43,2019-04-18 11:59:43,0.040s,PASSED
"selenium.click(""id=numberOfYears"")",Chrome 73.0.3683.103,,2019-04-18 11:59:43,2019-04-18 11:59:43,0.047s,PASSED
"selenium.type(""id=numberOfYears"", ""3"")",Chrome 73.0.3683.103,,2019-04-18 11:59:43,2019-04-18 11:59:43,0.039s,PASSED
"selenium.click(""id=numOfReinvestmentPerYear"")",Chrome 73.0.3683.103,,2019-04-18 11:59:43,2019-04-18 11:59:43,0.087s,PASSED
"selenium.select(""id=numOfReinvestmentPerYear"", ""label=3"")",Chrome 73.0.3683.103,,2019-04-18 11:59:43,2019-04-18 11:59:44,0.334s,PASSED
"selenium.click(""id=dividend-reinvestment-calculate"")",Chrome 73.0.3683.103,,2019-04-18 11:59:44,2019-04-18 11:59:44,0.294s,PASSED
"selenium.click(""name=s"")",Chrome 73.0.3683.103,,2019-04-18 11:59:44,2019-04-18 11:59:44,0.062s,PASSED
"takeScreenshot(""/Users/sthokala/Documents/DRCalculator.png"")",Chrome 73.0.3683.103,,2019-04-18 11:59:44,2019-04-18 11:59:44,0.428s,PASSED
selenium.close(),Chrome 73.0.3683.103,,2019-04-18 11:59:44,2019-04-18 11:59:45,0.118s,PASSED
,,,,,,
Test Cases/MutualFundCalc,Chrome 73.0.3683.103,,2019-04-18 11:59:45,2019-04-18 11:59:48,3.957s,PASSED
"openBrowser(""https://calc.crafton.ocweb.team/mutual-fund/"")",Chrome 73.0.3683.103,,2019-04-18 11:59:45,2019-04-18 11:59:47,1.885s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.103,,2019-04-18 11:59:47,2019-04-18 11:59:47,0.001s,PASSED
"baseUrl = ""https://calc.crafton.ocweb.team/mutual-fund/""",Chrome 73.0.3683.103,,2019-04-18 11:59:47,2019-04-18 11:59:47,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 73.0.3683.103,,2019-04-18 11:59:47,2019-04-18 11:59:47,0.013s,PASSED
"selenium.open(""https://calc.crafton.ocweb.team/mutual-fund/"")",Chrome 73.0.3683.103,,2019-04-18 11:59:47,2019-04-18 11:59:47,0.337s,PASSED
"selenium.click(""id=years"")",Chrome 73.0.3683.103,,2019-04-18 11:59:47,2019-04-18 11:59:47,0.086s,PASSED
"selenium.type(""id=years"", ""45"")",Chrome 73.0.3683.103,,2019-04-18 11:59:47,2019-04-18 11:59:47,0.050s,PASSED
"selenium.click(""id=rateOfReturn"")",Chrome 73.0.3683.103,,2019-04-18 11:59:47,2019-04-18 11:59:47,0.061s,PASSED
"selenium.type(""id=rateOfReturn"", ""5"")",Chrome 73.0.3683.103,,2019-04-18 11:59:47,2019-04-18 11:59:47,0.071s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Rate of Return:'])[1]/following::div[2]"")",Chrome 73.0.3683.103,,2019-04-18 11:59:47,2019-04-18 11:59:47,0.061s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Rate of Return:'])[1]/following::div[2]"")",Chrome 73.0.3683.103,,2019-04-18 11:59:47,2019-04-18 11:59:47,0.037s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Rate of Return:'])[1]/following::div[2]"")",Chrome 73.0.3683.103,,2019-04-18 11:59:47,2019-04-18 11:59:47,0.038s,PASSED
"selenium.type(""id=initialInvestment"", ""500000"")",Chrome 73.0.3683.103,,2019-04-18 11:59:47,2019-04-18 11:59:47,0.049s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Initial Investment:'])[1]/following::div[2]"")",Chrome 73.0.3683.103,,2019-04-18 11:59:47,2019-04-18 11:59:47,0.059s,PASSED
"selenium.type(""id=annualInvestments"", ""2000"")",Chrome 73.0.3683.103,,2019-04-18 11:59:47,2019-04-18 11:59:47,0.053s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Annual Investments:'])[1]/following::div[2]"")",Chrome 73.0.3683.103,,2019-04-18 11:59:47,2019-04-18 11:59:47,0.054s,PASSED
"selenium.type(""id=inflationRate"", ""2"")",Chrome 73.0.3683.103,,2019-04-18 11:59:47,2019-04-18 11:59:48,0.052s,PASSED
