Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Calculators,Chrome 73.0.3683.103,,2019-04-18 12:41:59,2019-04-18 12:42:21,22.072s,ERROR
,,,,,,
Test Cases/DividendReinvestmentCalc,Chrome 73.0.3683.103,,2019-04-18 12:41:59,2019-04-18 12:42:04,5.373s,PASSED
"openBrowser(""https://calc.crafton.ocweb.team/dividend-reinvestment/"")",Chrome 73.0.3683.103,,2019-04-18 12:41:59,2019-04-18 12:42:02,2.843s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.103,,2019-04-18 12:42:02,2019-04-18 12:42:02,0.007s,PASSED
"baseUrl = ""https://calc.crafton.ocweb.team/dividend-reinvestment/""",Chrome 73.0.3683.103,,2019-04-18 12:42:02,2019-04-18 12:42:02,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 73.0.3683.103,,2019-04-18 12:42:02,2019-04-18 12:42:02,0.065s,PASSED
"selenium.open(""https://calc.crafton.ocweb.team/dividend-reinvestment/"")",Chrome 73.0.3683.103,,2019-04-18 12:42:02,2019-04-18 12:42:02,0.314s,PASSED
"selenium.click(""id=initialNumberOfShares"")",Chrome 73.0.3683.103,,2019-04-18 12:42:02,2019-04-18 12:42:02,0.086s,PASSED
"selenium.type(""id=initialNumberOfShares"", ""200"")",Chrome 73.0.3683.103,,2019-04-18 12:42:02,2019-04-18 12:42:02,0.045s,PASSED
"selenium.click(""id=initialPriceOfShares"")",Chrome 73.0.3683.103,,2019-04-18 12:42:02,2019-04-18 12:42:02,0.052s,PASSED
"selenium.type(""id=initialPriceOfShares"", ""234"")",Chrome 73.0.3683.103,,2019-04-18 12:42:02,2019-04-18 12:42:02,0.068s,PASSED
"selenium.click(""id=annualDividend"")",Chrome 73.0.3683.103,,2019-04-18 12:42:02,2019-04-18 12:42:02,0.051s,PASSED
"selenium.type(""id=annualDividend"", ""23432"")",Chrome 73.0.3683.103,,2019-04-18 12:42:02,2019-04-18 12:42:03,0.041s,PASSED
"selenium.click(""id=dividendAnnualGrowthRate"")",Chrome 73.0.3683.103,,2019-04-18 12:42:03,2019-04-18 12:42:03,0.059s,PASSED
